CustomerKey,Country,City,FullName,BirthDate,Gender
29483,France,Paris La Defense,Jésus Navarro,06/06/1965,Male
29482,France,Saint Ouen,Clayton Zhang,09/01/1964,Male
29481,Germany,Hof,Ivan Suri,07/04/1965,Male
29480,United Kingdom,London,Nina Raji,05/06/1977,Female
29479,France,Versailles,Tommy Tang,06/30/1969,Male
29478,United Kingdom,Stoke-on-Trent,Darren Carlson,11/21/1964,Male
29477,United Kingdom,London,Neil Ruiz,01/02/1965,Male
29476,Germany,Hamburg,Elizabeth Bradley,12/30/1964,Female
29475,Germany,Hamburg,Jared Ward,03/18/1976,Male
29474,Germany,Saarbrücken,Jaime Raje,04/02/1965,Male
29473,United Kingdom,Oxford,Carmen Subram,11/19/1965,Female
29472,France,Paris,Lacey Sharma,09/11/1965,Female
29471,France,Dunkerque,Dana Ortega,09/23/1965,Female
29470,France,Drancy,Nathan Roberts,08/22/1971,Male
29469,United Kingdom,Oxon,Dominique Saunders,10/20/1977,Female
29468,United Kingdom,Cheltenham,Jacqueline Morris,06/23/1972,Female
29467,Germany,Sulzbach Taunus,Monica Mehta,10/12/1972,Female
29466,Germany,Solingen,Lance Jimenez,05/25/1949,Male
29465,Australia,Matraville,Roy Gill,12/17/1982,Male
29464,Australia,Rockhampton,Eugene Gao,03/05/1983,Male
29463,Australia,Gold Coast,Lucas Gonzales,02/17/1984,Male
29462,Australia,Rockhampton,Clinton Hernandez,01/18/1985,Male
29461,Australia,Findon,Colin Xu,04/08/1983,Male
29460,Australia,South Melbourne,Andres Chander,09/12/1982,Male
29459,Australia,Hervey Bay,Marco Malhotra,11/01/1982,Male
29458,Australia,St. Leonards,Danny Moreno,08/24/1982,Male
29457,Australia,Cranbourne,Cynthia Kapoor,01/25/1984,Female
29456,Australia,Lane Cove,Lindsay She,12/25/1983,Female
29455,Australia,Sunbury,Dawn Zeng,01/06/1984,Female
29454,Australia,Caloundra,Victoria Bradley,07/24/1983,Female
29453,Australia,Melton,Victor Vazquez,02/22/1986,Male
29452,Australia,Darlinghurst,Meredith Romero,11/19/1984,Female
29451,France,Paris,Geoffrey Lopez,03/19/1959,Male
29450,France,Colomiers,Bradley Chande,05/06/1948,Male
29449,Germany,Salzgitter,Laura Chen,12/04/1946,Female
29448,Germany,Hamburg,Lindsey Yuan,05/28/1947,Female
29447,France,Dunkerque,Lindsay Deng,11/22/1943,Female
29446,Germany,Braunschweig,Jamie Ma,10/14/1942,Female
29445,France,Dunkerque,Bonnie Lal,03/27/1943,Female
29444,United Kingdom,Wokingham,Beth Blanco,03/08/1962,Female
29443,United Kingdom,Runcorn,Gabriel Phillips,02/25/1962,Male
29442,Germany,Saarbrücken,Damien Yuan,08/30/1969,Male
29441,Germany,Neunkirchen,Adriana Patel,02/01/1942,Female
29440,Germany,München,Rafael Cai,04/09/1967,Male
29439,United Kingdom,High Wycombe,Laura Zhu,10/12/1972,Female
29438,Germany,Bonn,Terrance Fernandez,07/14/1972,Male
29437,France,Saint-Denis,Haley Bell,12/30/1967,Female
29436,Germany,Hamburg,Adriana Raman,07/17/1966,Female
29435,Germany,Sulzbach Taunus,Stanley Rodriguez,05/10/1968,Male
29434,Germany,Solingen,Donna Yuan,03/31/1968,Female
29433,United Kingdom,Runcorn,Thomas King,02/10/1986,Male
29432,United Kingdom,Leeds,Gabrielle Roberts,01/04/1981,Female
29431,United Kingdom,Birmingham,Marie Gutierrez,03/16/1981,Female
29430,Germany,Braunschweig,Donna Goel,05/03/1981,Female
29429,France,Paris,Marie Suarez,11/18/1980,Female
29428,Germany,Braunschweig,Kristopher Perez,12/09/1979,Male
29427,France,Paris,Wesley Chen,02/08/1980,Male
29426,France,Paris,Neil Gomez,03/31/1980,Male
29425,United Kingdom,Peterborough,Tommy Xie,01/23/1980,Male
29424,Germany,Stuttgart,Erik Gill,02/02/1980,Male
29423,France,Versailles,Tony Luo,12/06/1981,Male
29422,France,Versailles,Ian Adams,02/16/1982,Male
29421,France,Saint-Denis,Blake Williams,08/18/1981,Male
29420,France,Paris,Linda Travers,07/12/1981,Female
29419,France,Pantin,Carrie Vazquez,05/23/1982,Female
29418,Germany,Berlin,Lindsey Sharma,04/19/1981,Female
29417,Germany,München,Kellie Vazquez,08/29/1980,Female
29416,United Kingdom,Bury,Pedro Ramos,02/09/1981,Male
29415,France,Saint-Denis,Oscar Flores,03/25/1983,Male
29414,France,Villeneuve-d'Ascq,Lydia Patel,02/22/1984,Female
